feature_group,model,MSE_mean,MSE_std,MAE_mean,MAE_std,MAPE_mean,MAPE_std,R2_mean,R2_std,elapsed_time_mean,elapsed_time_std
base_only,BASELINE,69360.0489261695,0.0,211.732498375,0.0,9281168232072700.0,0.0,0.2858635269225068,0.0,0.005598999559879303,0.0
base_only,BASELINE2,69360.0489261695,0.0,211.732498375,0.0,9281168232072700.0,0.0,0.2858635269225068,0.0,0.005191300064325333,0.0
base_only,BASELINE3,69360.0489261695,0.0,211.732498375,0.0,9281168232072700.0,0.0,0.2858635269225068,0.0,0.0053205001167953014,0.0
base_only,LGBM,79647.00365479453,0.0,239.16239711805596,0.0,2.0871456784128384e+17,0.0,0.17994823876537325,0.0,160.0434532999061,0.0
base_only,LGBM2,79647.00365479453,0.0,239.16239711805596,0.0,2.0871456784128384e+17,0.0,0.17994823876537325,0.0,152.5076495995745,0.0
all_areas,BASELINE,69360.0489261695,0.0,211.732498375,0.0,9281168232072700.0,0.0,0.2858635269225068,0.0,0.01835639961063862,0.0
all_areas,BASELINE2,69360.0489261695,0.0,211.732498375,0.0,9281168232072700.0,0.0,0.2858635269225068,0.0,0.006424400024116039,0.0
all_areas,BASELINE3,69360.0489261695,0.0,211.732498375,0.0,9281168232072700.0,0.0,0.2858635269225068,0.0,0.00990330008789897,0.0
all_areas,LGBM,114624.51826095504,0.0,302.4006929112993,0.0,2.6046431428500544e+17,0.0,-0.18018297948749495,0.0,183.8659346997738,0.0
all_areas,LGBM2,114624.51826095504,0.0,302.4006929112993,0.0,2.6046431428500544e+17,0.0,-0.18018297948749495,0.0,224.58554410003126,0.0
